city,severity,isolated_users,received_service,received_service_half,avg_distance,isolated_systems,active_base_stations,avg_snr,connected_UE_BS,active_channels
Middelburg,0,0.0,0.928537462963783,0.9233038348082596,514.0615193764861,2,54,26608277.53350702,6.277777777777778,162
Middelburg,0,0.0,0.9293883101070751,0.9262536873156342,514.0792273491115,2,54,25221289.211523473,6.277777777777778,162
Middelburg,0,0.0,0.927855546186025,0.9233038348082596,514.0759413837986,2,54,27898139.718487855,6.277777777777778,162
Middelburg,0,0.0,0.9648384063464988,0.9705014749262537,480.04360858232104,2,54,37882485.009491414,6.277777777777778,162
Middelburg,0,0.0,0.9633258265531214,0.9705014749262537,480.0757295619077,2,54,35909249.33564105,6.277777777777778,162
Middelburg,0,0.0,0.9644393132800224,0.9705014749262537,480.06454972674584,2,54,35289216.96329982,6.277777777777778,162
Middelburg,0,0.0,0.9562834640287341,0.9616519174041298,480.031459441789,2,54,39298326.05344631,6.277777777777778,162
Middelburg,0,0.0,0.9559081302624357,0.9734513274336283,479.24655017337943,2,54,37235788.17824267,6.277777777777778,162
Middelburg,0,0.0,0.9596459676047814,0.976401179941003,479.3653735712198,2,54,33098235.003269706,6.277777777777778,162
Middelburg,0,0.0,0.958362465128938,0.9734513274336283,479.24655017337943,2,54,33290067.005879797,6.277777777777778,162
Middelburg,0,0.0,0.9560699163745104,0.9734513274336283,479.24655017337943,2,54,35988562.13392002,6.277777777777778,162
Middelburg,0,0.0,0.9286107831759811,0.9262536873156342,514.0583556170461,2,54,27088942.897583935,6.277777777777778,162
Middelburg,0,0.0,0.928537462963783,0.9233038348082596,514.0615193764861,2,54,26608277.53350702,6.277777777777778,162
Middelburg,0,0.0,0.9293883101070751,0.9262536873156342,514.0792273491115,2,54,25221289.211523473,6.277777777777778,162
Middelburg,0,0.0,0.927855546186025,0.9233038348082596,514.0759413837986,2,54,27898139.718487855,6.277777777777778,162
Middelburg,0,0.0,0.9648384063464988,0.9705014749262537,480.04360858232104,2,54,37882485.009491414,6.277777777777778,162
Middelburg,0,0.0,0.9633258265531214,0.9705014749262537,480.0757295619077,2,54,35909249.33564105,6.277777777777778,162
Middelburg,0,0.0,0.9644393132800224,0.9705014749262537,480.06454972674584,2,54,35289216.96329982,6.277777777777778,162
Middelburg,0,0.0,0.9562834640287341,0.9616519174041298,480.031459441789,2,54,39298326.05344631,6.277777777777778,162
Middelburg,0,0.0,0.9559081302624357,0.9734513274336283,479.24655017337943,2,54,37235788.17824267,6.277777777777778,162
Middelburg,0,0.0,0.9596459676047814,0.976401179941003,479.3653735712198,2,54,33098235.003269706,6.277777777777778,162
Middelburg,0,0.0,0.958362465128938,0.9734513274336283,479.24655017337943,2,54,33290067.005879797,6.277777777777778,162
Middelburg,0,0.0,0.9560699163745104,0.9734513274336283,479.24655017337943,2,54,35988562.13392002,6.277777777777778,162
Middelburg,0,0.0,0.9286107831759811,0.9262536873156342,514.0583556170461,2,54,27088942.897583935,6.277777777777778,162
Middelburg,0,0.0,0.928537462963783,0.9233038348082596,514.0615193764861,2,54,26608277.53350702,6.277777777777778,162
Middelburg,0,0.0,0.9293883101070751,0.9262536873156342,514.0792273491115,2,54,25221289.211523473,6.277777777777778,162
Middelburg,0,0.0,0.927855546186025,0.9233038348082596,514.0759413837986,2,54,27898139.718487855,6.277777777777778,162
Middelburg,0,0.0,0.9648384063464988,0.9705014749262537,480.04360858232104,2,54,37882485.009491414,6.277777777777778,162
Middelburg,0,0.0,0.9633258265531214,0.9705014749262537,480.0757295619077,2,54,35909249.33564105,6.277777777777778,162
Middelburg,0,0.0,0.9644393132800224,0.9705014749262537,480.06454972674584,2,54,35289216.96329982,6.277777777777778,162
Middelburg,0,0.0,0.9562834640287341,0.9616519174041298,480.031459441789,2,54,39298326.05344631,6.277777777777778,162
Middelburg,0,0.0,0.9559081302624357,0.9734513274336283,479.24655017337943,2,54,37235788.17824267,6.277777777777778,162
Middelburg,0,0.0,0.9596459676047814,0.976401179941003,479.3653735712198,2,54,33098235.003269706,6.277777777777778,162
Middelburg,0,0.0,0.958362465128938,0.9734513274336283,479.24655017337943,2,54,33290067.005879797,6.277777777777778,162
Middelburg,0,0.0,0.9560699163745104,0.9734513274336283,479.24655017337943,2,54,35988562.13392002,6.277777777777778,162
Middelburg,0,0.0,0.9286107831759811,0.9262536873156342,514.0583556170461,2,54,27088942.897583935,6.277777777777778,162
Middelburg,0,0.0,0.928537462963783,0.9233038348082596,514.0615193764861,2,54,26608277.53350702,6.277777777777778,162
Middelburg,0,0.0,0.9293883101070751,0.9262536873156342,514.0792273491115,2,54,25221289.211523473,6.277777777777778,162
Middelburg,0,0.0,0.927855546186025,0.9233038348082596,514.0759413837986,2,54,27898139.718487855,6.277777777777778,162
Middelburg,0,0.0,0.9648384063464988,0.9705014749262537,480.04360858232104,2,54,37882485.009491414,6.277777777777778,162
Middelburg,0,0.0,0.9633258265531214,0.9705014749262537,480.0757295619077,2,54,35909249.33564105,6.277777777777778,162
Middelburg,0,0.0,0.9644393132800224,0.9705014749262537,480.06454972674584,2,54,35289216.96329982,6.277777777777778,162
Middelburg,0,0.0,0.9562834640287341,0.9616519174041298,480.031459441789,2,54,39298326.05344631,6.277777777777778,162
Middelburg,0,0.0,0.9559081302624357,0.9734513274336283,479.24655017337943,2,54,37235788.17824267,6.277777777777778,162
Middelburg,0,0.0,0.9596459676047814,0.976401179941003,479.3653735712198,2,54,33098235.003269706,6.277777777777778,162
Middelburg,0,0.0,0.958362465128938,0.9734513274336283,479.24655017337943,2,54,33290067.005879797,6.277777777777778,162
Middelburg,0,0.0,0.9560699163745104,0.9734513274336283,479.24655017337943,2,54,35988562.13392002,6.277777777777778,162
Middelburg,0,0.0,0.9286107831759811,0.9262536873156342,514.0583556170461,2,54,27088942.897583935,6.277777777777778,162
Middelburg,0,0.0,0.928537462963783,0.9233038348082596,514.0615193764861,2,54,26608277.53350702,6.277777777777778,162
Middelburg,0,0.0,0.9293883101070751,0.9262536873156342,514.0792273491115,2,54,25221289.211523473,6.277777777777778,162
Middelburg,0,0.0,0.927855546186025,0.9233038348082596,514.0759413837986,2,54,27898139.718487855,6.277777777777778,162
Middelburg,0,0.0,0.9648384063464988,0.9705014749262537,480.04360858232104,2,54,37882485.009491414,6.277777777777778,162
Middelburg,0,0.0,0.9633258265531214,0.9705014749262537,480.0757295619077,2,54,35909249.33564105,6.277777777777778,162
Middelburg,0,0.0,0.9644393132800224,0.9705014749262537,480.06454972674584,2,54,35289216.96329982,6.277777777777778,162
Middelburg,0,0.0,0.9562834640287341,0.9616519174041298,480.031459441789,2,54,39298326.05344631,6.277777777777778,162
Middelburg,0,0.0,0.9559081302624357,0.9734513274336283,479.24655017337943,2,54,37235788.17824267,6.277777777777778,162
Middelburg,0,0.0,0.9596459676047814,0.976401179941003,479.3653735712198,2,54,33098235.003269706,6.277777777777778,162
Middelburg,0,0.0,0.958362465128938,0.9734513274336283,479.24655017337943,2,54,33290067.005879797,6.277777777777778,162
Middelburg,0,0.0,0.9560699163745104,0.9734513274336283,479.24655017337943,2,54,35988562.13392002,6.277777777777778,162
Middelburg,0,0.0,0.9286107831759811,0.9262536873156342,514.0583556170461,2,54,27088942.897583935,6.277777777777778,162
Middelburg,0,0.0,0.928537462963783,0.9233038348082596,514.0615193764861,2,54,26608277.53350702,6.277777777777778,162
Middelburg,0,0.0,0.9293883101070751,0.9262536873156342,514.0792273491115,2,54,25221289.211523473,6.277777777777778,162
Middelburg,0,0.0,0.927855546186025,0.9233038348082596,514.0759413837986,2,54,27898139.718487855,6.277777777777778,162
Middelburg,0,0.0,0.9648384063464988,0.9705014749262537,480.04360858232104,2,54,37882485.009491414,6.277777777777778,162
Middelburg,0,0.0,0.9633258265531214,0.9705014749262537,480.0757295619077,2,54,35909249.33564105,6.277777777777778,162
Middelburg,0,0.0,0.9644393132800224,0.9705014749262537,480.06454972674584,2,54,35289216.96329982,6.277777777777778,162
Middelburg,0,0.0,0.9562834640287341,0.9616519174041298,480.031459441789,2,54,39298326.05344631,6.277777777777778,162
Middelburg,0,0.0,0.9559081302624357,0.9734513274336283,479.24655017337943,2,54,37235788.17824267,6.277777777777778,162
Middelburg,0,0.0,0.9596459676047814,0.976401179941003,479.3653735712198,2,54,33098235.003269706,6.277777777777778,162
Middelburg,0,0.0,0.958362465128938,0.9734513274336283,479.24655017337943,2,54,33290067.005879797,6.277777777777778,162
Middelburg,0,0.0,0.9560699163745104,0.9734513274336283,479.24655017337943,2,54,35988562.13392002,6.277777777777778,162
Middelburg,0,0.0,0.9286107831759811,0.9262536873156342,514.0583556170461,2,54,27088942.897583935,6.277777777777778,162
Middelburg,0,0.0,0.928537462963783,0.9233038348082596,514.0615193764861,2,54,26608277.53350702,6.277777777777778,162
Middelburg,0,0.0,0.9293883101070751,0.9262536873156342,514.0792273491115,2,54,25221289.211523473,6.277777777777778,162
Middelburg,0,0.0,0.927855546186025,0.9233038348082596,514.0759413837986,2,54,27898139.718487855,6.277777777777778,162
Middelburg,0,0.0,0.9648384063464988,0.9705014749262537,480.04360858232104,2,54,37882485.009491414,6.277777777777778,162
Middelburg,0,0.0,0.9633258265531214,0.9705014749262537,480.0757295619077,2,54,35909249.33564105,6.277777777777778,162
Middelburg,0,0.0,0.9644393132800224,0.9705014749262537,480.06454972674584,2,54,35289216.96329982,6.277777777777778,162
Middelburg,0,0.0,0.9562834640287341,0.9616519174041298,480.031459441789,2,54,39298326.05344631,6.277777777777778,162
